Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0.002244,3.407,3.377,0.165,0.746,0,4.521,34145.1
0.00228,3.402,3.377,0.165,0.746,0,4.521,34145.1
0.002316,3.402,3.377,0.165,0.746,0,4.521,34145.1
0.002352,3.402,3.377,0.165,0.746,0,4.521,34145.1
0.002388,3.402,3.377,0.165,0.746,0,4.521,34145.1
0.002424,3.402,3.377,0.165,0.746,0,4.521,34145.1
0.002464,3.402,3.377,0.165,0.746,0,4.521,34145.1
0.0025,3.402,3.377,0.165,0.746,0,4.521,34145.1
0.002536,3.402,3.377,0.165,0.746,0,4.521,34145.1
0.002572,3.402,3.377,0.165,0.746,0,4.521,34145.1
0.002608,3.402,3.377,0.165,0.746,0,4.521,34145.1
0.002644,3.402,3.377,0.165,0.746,0,4.521,34145.1
0.002684,3.407,3.377,0.165,0.746,0,4.521,34145.1
0.00272,3.407,3.377,0.165,0.746,0,4.521,34145.1
0.002756,3.407,3.377,0.165,0.746,0,4.521,34145.1
0.002792,3.407,3.382,0.165,0.746,0,4.521,34145.1
0.002828,3.407,3.382,0.165,0.746,0,4.521,34145.1
0.002864,3.407,3.382,0.165,0.746,0,4.521,34145.1
0.002904,3.407,3.382,0.165,0.746,0,4.521,34145.1
0.00294,3.407,3.382,0.165,0.746,0,4.521,34145.1
0.002976,3.407,3.382,0.165,0.746,0,4.521,34145.1
0.003012,3.407,3.387,0.165,0.746,0,4.521,34145.1
0.003048,3.407,3.382,0.165,0.746,0,4.521,34145.1
0.003088,3.407,3.387,0.165,0.746,0,4.521,34145.1
0.003124,3.412,3.387,0.165,0.746,0,4.521,34145.1
0.00316,3.412,3.387,0.165,0.746,0,4.521,34145.1
0.003196,3.412,3.387,0.165,0.746,0,4.521,34145.1
0.003232,3.416,3.387,0.165,0.746,0,4.521,34145.1
0.003272,3.412,3.392,0.165,0.746,0,4.521,34145.1
0.003308,3.412,3.387,0.165,0.746,0,4.521,34145.1
0.003344,3.412,3.387,0.165,0.746,0,4.521,34145.1
0.00338,3.412,3.387,0.165,0.746,0,4.521,34145.1
0.003416,3.416,3.387,0.165,0.746,0,4.521,34145.1
0.003452,3.412,3.387,0.165,0.746,0,4.521,34145.1
0.003492,3.416,3.392,0.165,0.746,0,4.521,34145.1
0.003528,3.416,3.392,0.165,0.746,0,4.521,34145.1
0.003564,3.412,3.387,0.165,0.746,0,4.521,34145.1
0.0036,3.412,3.387,0.165,0.746,0,4.521,34145.1
0.003636,3.416,3.387,0.165,0.746,0,4.521,34145.1
0.003672,3.412,3.382,0.165,0.746,0,4.521,34145.1
0.003712,3.407,3.382,0.165,0.746,0,4.521,34145.1
0.003748,3.407,3.382,0.165,0.746,0,4.521,34145.1
0.003784,3.407,3.382,0.165,0.746,0,4.521,34145.1
0.00382,3.407,3.382,0.165,0.746,0,4.521,34145.1
0.003856,3.407,3.382,0.165,0.746,0,4.521,34145.1
0.003892,3.407,3.382,0.165,0.746,0,4.521,34145.1
0.003932,3.407,3.382,0.165,0.746,0,4.521,34145.1
0.003968,3.407,3.382,0.165,0.746,0,4.521,34145.1
0.004004,3.407,3.382,0.165,0.746,0,4.521,34145.1
0.00404,3.407,3.382,0.165,0.746,0,4.521,34145.1
0.004076,3.407,3.382,0.165,0.746,0,4.521,34145.1
0.004112,3.412,3.382,0.165,0.746,0,4.521,34145.1
