time	I(L1)
Step Information: X=220  (Step: 1/5)
0.000000000000000e+00	0.000000e+00
1.002160000973893e-09	1.258025e-09
2.416020121280556e-05	6.029908e-05
1.362100281456114e-04	3.379275e-04
3.412881531456115e-04	8.373458e-04
6.342569031456117e-04	1.531538e-03
1.015116278145612e-03	2.401179e-03
1.483866278145612e-03	3.422682e-03
2.069803778145612e-03	4.627673e-03
2.772928778145607e-03	5.974796e-03
3.593241278145602e-03	7.420248e-03
4.530741278145605e-03	8.920116e-03
5.000001000000000e-03	9.614773e-03
5.000002000000001e-03	9.614773e-03
6.261928000056213e-03	8.368636e-03
7.521693625056223e-03	7.285717e-03
8.781459250056205e-03	6.342930e-03
1.000000000000000e-02	5.547226e-03
1.000000100000000e-02	5.547227e-03
1.076388012505619e-02	6.931781e-03
1.167208325005617e-02	8.433523e-03
1.272677075005614e-02	9.999238e-03
1.392794262505612e-02	1.157461e-02
1.500000100000000e-02	1.281523e-02
1.500000200000000e-02	1.281523e-02
1.626192800005621e-02	1.115429e-02
1.752169362505626e-02	9.710907e-03
1.878145925005631e-02	8.454296e-03
2.000000000000000e-02	7.393727e-03
2.000000100000000e-02	7.393727e-03
2.093966137505623e-02	8.899445e-03
2.202364575005628e-02	1.045374e-02
2.328341137505632e-02	1.204195e-02
2.454317700005637e-02	1.342464e-02
2.500000100000000e-02	1.388057e-02
2.500000200000000e-02	1.388057e-02
2.541231862505621e-02	1.326511e-02
2.667208425005626e-02	1.154858e-02
2.793184987505631e-02	1.005417e-02
2.919161550005636e-02	8.753140e-03
2.998263112505639e-02	8.023697e-03
3.000000000000000e-02	8.008369e-03
Step Information: X=415  (Step: 2/5)
0.000000000000000e+00	0.000000e+00
1.002160000782247e-09	1.258025e-09
1.208059917464194e-05	3.015300e-05
4.831939885856856e-05	1.201030e-04
1.362100238585685e-04	3.356492e-04
2.533975238585685e-04	6.170222e-04
4.291787738585687e-04	1.026458e-03
6.635537738585689e-04	1.549653e-03
9.272256488585691e-04	2.108619e-03
1.249491273858569e-03	2.751545e-03
1.630350648858570e-03	3.457964e-03
2.069803773858570e-03	4.206626e-03
2.597147523858566e-03	5.019402e-03
3.212381898858562e-03	5.861792e-03
3.886210023858558e-03	6.669023e-03
4.560038148858563e-03	7.370922e-03
5.000001000000000e-03	7.779049e-03
5.000002000000001e-03	7.779049e-03
5.675990500056208e-03	6.761028e-03
6.349818625056214e-03	5.878813e-03
7.023646750056219e-03	5.111714e-03
7.697474875056225e-03	4.444710e-03
8.371303000056214e-03	3.864740e-03
9.045131125056199e-03	3.360448e-03
9.718959250056185e-03	2.921959e-03
1.000000000000000e-02	2.756409e-03
1.000000100000000e-02	2.756410e-03
1.038302075005619e-02	3.466228e-03
1.085177075005618e-02	4.261649e-03
1.137911450005617e-02	5.068722e-03
1.199434887505616e-02	5.905201e-03
1.266817700005615e-02	6.706768e-03
1.334200512505613e-02	7.403742e-03
1.401583325005612e-02	8.009771e-03
1.468966137505610e-02	8.536722e-03
1.500000100000000e-02	8.755747e-03
1.500000200000000e-02	8.755747e-03
1.567599050005619e-02	7.609908e-03
1.634981862505621e-02	6.616927e-03
1.702364675005624e-02	5.753515e-03
1.769747487505626e-02	5.002765e-03
1.837130300005629e-02	4.349978e-03
1.904513112505632e-02	3.782369e-03
1.971895925005634e-02	3.288826e-03
2.000000000000000e-02	3.102490e-03
2.000000100000000e-02	3.102491e-03
2.041231762505621e-02	3.835946e-03
2.091036450005623e-02	4.642258e-03
2.146700512505625e-02	5.450114e-03
2.211153637505628e-02	6.276079e-03
2.278536450005630e-02	7.029252e-03
2.345919262505633e-02	7.684147e-03
2.413302075005636e-02	8.253587e-03
2.480684887505638e-02	8.748723e-03
2.500000100000000e-02	8.878377e-03
2.500000200000000e-02	8.878376e-03
2.538302175005621e-02	8.200137e-03
2.605684987505624e-02	7.130140e-03
2.673067800005626e-02	6.199761e-03
2.740450612505629e-02	5.390783e-03
2.807833425005632e-02	4.687365e-03
2.875216237505634e-02	4.075732e-03
2.942599050005637e-02	3.543909e-03
2.998263112505639e-02	3.157318e-03
3.000000000000000e-02	3.145942e-03
Step Information: X=610  (Step: 3/5)
0.000000000000000e+00	0.000000e+00
1.002160000590601e-09	1.258025e-09
1.208059810287988e-05	3.013084e-05
4.831939457152013e-05	1.197789e-04
1.069131445715201e-04	2.628136e-04
1.948037695715201e-04	4.726711e-04
3.119912695715201e-04	7.438718e-04
4.584756445715203e-04	1.069522e-03
6.342568945715204e-04	1.441574e-03
8.686318945715206e-04	1.907609e-03
1.132303769571521e-03	2.393579e-03
1.425272519571521e-03	2.889632e-03
1.776835019571521e-03	3.429248e-03
2.186991269571520e-03	3.989855e-03
2.626444394571517e-03	4.517562e-03
3.065897519571514e-03	4.979074e-03
3.505350644571512e-03	5.382694e-03
3.944803769571509e-03	5.735684e-03
4.384256894571513e-03	6.044394e-03
4.823710019571516e-03	6.314380e-03
5.000001000000000e-03	6.412955e-03
5.000002000000001e-03	6.412954e-03
5.441615500056206e-03	5.604931e-03
5.881068625056210e-03	4.901849e-03
6.320521750056213e-03	4.286961e-03
6.759974875056217e-03	3.749205e-03
7.199428000056221e-03	3.278905e-03
7.638881125056224e-03	2.867599e-03
8.078334250056220e-03	2.507888e-03
8.517787375056211e-03	2.193298e-03
8.957240500056201e-03	1.918171e-03
9.396693625056192e-03	1.677556e-03
9.836146750056183e-03	1.467123e-03
1.000000000000000e-02	1.395577e-03
1.000000100000000e-02	1.395578e-03
1.020723950005620e-02	1.812033e-03
1.047091137505619e-02	2.305389e-03
1.076388012505619e-02	2.808980e-03
1.111544262505618e-02	3.356797e-03
1.152559887505617e-02	3.925923e-03
1.196505200005616e-02	4.461650e-03
1.240450512505615e-02	4.930176e-03
1.284395825005614e-02	5.339929e-03
1.328341137505613e-02	5.698284e-03
1.372286450005612e-02	6.011685e-03
1.416231762505611e-02	6.285775e-03
1.460177075005610e-02	6.525482e-03
1.500000100000000e-02	6.716657e-03
1.500000200000000e-02	6.716656e-03
1.544161550005619e-02	5.870368e-03
1.588106862505620e-02	5.133989e-03
1.632052175005621e-02	4.489982e-03
1.675997487505623e-02	3.926759e-03
1.719942800005625e-02	3.434186e-03
1.763888112505626e-02	3.003402e-03
1.807833425005628e-02	2.626656e-03
1.851778737505630e-02	2.297168e-03
1.895724050005631e-02	2.009011e-03
1.939669362505633e-02	1.757001e-03
1.983614675005635e-02	1.536603e-03
2.000000000000000e-02	1.461668e-03
2.000000100000000e-02	1.461669e-03
2.023653637505621e-02	1.930323e-03
2.050020825005622e-02	2.414538e-03
2.082247387505623e-02	2.955839e-03
2.117403637505624e-02	3.488724e-03
2.158419262505626e-02	4.042337e-03
2.202364575005628e-02	4.563461e-03
2.246309887505629e-02	5.019215e-03
2.290255200005631e-02	5.417800e-03
2.334200512505633e-02	5.766386e-03
2.378145825005634e-02	6.071245e-03
2.422091137505636e-02	6.337863e-03
2.466036450005638e-02	6.571037e-03
2.500000100000000e-02	6.731040e-03
2.500000200000000e-02	6.731039e-03
2.538302175005621e-02	5.989019e-03
2.582247487505623e-02	5.237756e-03
2.626192800005625e-02	4.580732e-03
2.670138112505626e-02	4.006126e-03
2.714083425005628e-02	3.503598e-03
2.758028737505630e-02	3.064106e-03
2.801974050005631e-02	2.679745e-03
2.845919362505633e-02	2.343598e-03
2.889864675005635e-02	2.049617e-03
2.933809987505636e-02	1.792513e-03
2.977755300005638e-02	1.567661e-03
2.998263112505639e-02	1.472596e-03
3.000000000000000e-02	1.464798e-03
Step Information: X=805  (Step: 4/5)
0.000000000000000e+00	0.000000e+00
1.002160000398955e-09	1.258025e-09
1.208059703111713e-05	3.010871e-05
4.831939028446892e-05	1.194562e-04
1.069131402844689e-04	2.614076e-04
1.948037652844689e-04	4.682096e-04
2.826943902844689e-04	6.678235e-04
3.998818902844690e-04	9.232246e-04
5.463662652844691e-04	1.225992e-03
7.221475152844693e-04	1.566519e-03
9.272256402844695e-04	1.934515e-03
1.161600640284470e-03	2.319517e-03
1.425272515284470e-03	2.711375e-03
1.747538140284470e-03	3.137135e-03
2.099100640284470e-03	3.542754e-03
2.450663140284467e-03	3.894851e-03
2.802225640284465e-03	4.200489e-03
3.153788140284463e-03	4.465799e-03
3.505350640284460e-03	4.696100e-03
3.856913140284458e-03	4.896014e-03
4.208475640284461e-03	5.069549e-03
4.560038140284463e-03	5.220185e-03
4.911600640284466e-03	5.350946e-03
5.000001000000000e-03	5.381045e-03
5.000002000000001e-03	5.381044e-03
5.324428000056205e-03	4.722481e-03
5.646693625056208e-03	4.147977e-03
5.968959250056210e-03	3.643363e-03
6.291224875056213e-03	3.200137e-03
6.613490500056216e-03	2.810830e-03
6.935756125056218e-03	2.468884e-03
7.258021750056221e-03	2.168537e-03
7.580287375056224e-03	1.904728e-03
7.902553000056224e-03	1.673012e-03
8.224818625056217e-03	1.469485e-03
8.547084250056210e-03	1.290718e-03
8.869349875056203e-03	1.133698e-03
9.191615500056196e-03	9.957801e-04
9.513881125056189e-03	8.746405e-04
9.836146750056183e-03	7.682379e-04
1.000000000000000e-02	7.191809e-04
1.000000100000000e-02	7.191818e-04
1.011934887505620e-02	9.765876e-04
1.026583325005620e-02	1.276300e-03
1.044161450005619e-02	1.613391e-03
1.064669262505619e-02	1.977673e-03
1.088106762505618e-02	2.358790e-03
